# FROM CRISPRCASDB
# COLLECTED BY @purpurax

"gene","count"
Csm2_0_III-A_10,1
Csm2_0_III-A_2,215
Csm2_0_III-A_3,62
Csm2_0_III-A_4,123
Csm2_0_III-A_5,115
Csm2_0_III-A_6,48
Csm2_0_III-A_7,452
Csm2_0_III-A_8,16
Csm2_0_III-A_9,2
Csm2_0_III-D_2,1
Csm2_0_III-D_21,1
Csm2_0_III-D_3,8
Csm2_0_III-D_4,29
Csm2_0_III-D_5,17
Csm2_0_III-D_6,14
Csm2_0_III-D_7,2
Csm2_1_III-A_1,2
Csm2_1_III-A_2,9
Csm2_1_III-A_3,11
Csm2_1_III-A_4,14
Csm2_1_III-A_5,3
Csm2_1_III-A_6,3
Csm2_1_III-A_7,1
Csm2_1_III-A_8,1
Csm2_1_III-A_9,1
Csm3_0_III-A_1,117
Csm3_0_III-A_10,1
Csm3_0_III-A_2,24
Csm3_0_III-A_3,134
Csm3_0_III-A_4,89
Csm3_0_III-A_5,100
Csm3_0_III-A_6,509
Csm3_0_III-A_7,19
Csm3_0_III-A_8,2
Csm3_0_III-A_9,1
Csm3_0_III-AD_1,64
Csm3_0_III-AD_14,1
Csm3_0_III-AD_17,1
Csm3_0_III-AD_2,9
Csm3_0_III-AD_3,21
Csm3_0_III-AD_4,73
Csm3_0_III-AD_5,46
Csm3_0_III-AD_6,12
Csm3_0_III-AD_7,2
Csm3_0_III-AD_8,2
Csm3_0_III-AD_9,1
Csm3_0_III-D_1,32
Csm3_0_III-D_10,2
Csm3_0_III-D_11,1
Csm3_0_III-D_13,1
Csm3_0_III-D_2,108
Csm3_0_III-D_3,99
Csm3_0_III-D_4,67
Csm3_0_III-D_5,36
Csm3_0_III-D_6,33
Csm3_0_III-D_7,32
Csm3_0_III-D_8,2
Csm3_0_III-D_9,2
Csm3_1_III-AD_1,129
Csm3_1_III-AD_10,7
Csm3_1_III-AD_11,1
Csm3_1_III-AD_13,1
Csm3_1_III-AD_14,1
Csm3_1_III-AD_16,1
Csm3_1_III-AD_2,111
Csm3_1_III-AD_3,102
Csm3_1_III-AD_4,91
Csm3_1_III-AD_5,62
Csm3_1_III-AD_6,102
Csm3_1_III-AD_7,19
Csm3_1_III-AD_8,22
Csm3_1_III-AD_9,14
Csm3_1_III-D_1,17
Csm3_1_III-D_11,1
Csm3_1_III-D_12,1
Csm3_1_III-D_19,1
Csm3_1_III-D_2,77
Csm3_1_III-D_3,116
Csm3_1_III-D_4,97
Csm3_1_III-D_5,81
Csm3_1_III-D_6,54
Csm3_1_III-D_7,32
Csm3_1_III-D_8,20
Csm3_1_III-D_9,3
Csm4_0_III-A_1,16
Csm4_0_III-A_10,1
Csm4_0_III-A_11,1
Csm4_0_III-A_2,68
Csm4_0_III-A_3,67
Csm4_0_III-A_4,134
Csm4_0_III-A_5,55
Csm4_0_III-A_6,59
Csm4_0_III-A_7,56
Csm4_0_III-A_8,6
Csm4_1_III-A_1,1
Csm4_1_III-A_2,6
Csm4_1_III-A_3,5
Csm4_1_III-A_4,8
Csm4_1_III-A_5,450
Csm4_1_III-A_6,12
Csm4_1_III-A_7,1
Csm5_0_III-A_1,45
Csm5_0_III-A_11,1
Csm5_0_III-A_12,1
Csm5_0_III-A_2,59
Csm5_0_III-A_3,34
Csm5_0_III-A_4,27
Csm5_0_III-A_5,79
Csm5_0_III-A_6,33
Csm5_0_III-A_7,34
Csm5_0_III-A_8,54
Csm5_0_III-A_9,4
Csm5_1_III-A_1,15
Csm5_1_III-A_2,5
Csm5_1_III-A_3,4
Csm5_1_III-A_4,437
Csm5_1_III-A_5,8
Csm5_1_III-A_6,16
Csm6_0_III-A_1,35
Csm6_0_III-A_10,10
Csm6_0_III-A_14,1
Csm6_0_III-A_2,18
Csm6_0_III-A_3,451
Csm6_0_III-A_4,2
Csm6_0_III-A_5,1
Csm6_0_III-A_6,2
Csm6_0_III-A_7,22
Csm6_0_III-A_8,44
Csm6_0_III-A_9,55
Csn2_0_CAS-II-C_1,175
Csn2_0_CAS-II-C_3,2
Csn2_0_CAS-II-C_4,99
Csn2_0_CAS-II-C_5,2
Csn2_0_II-A_1,590
Csn2_0_II-A_2,1
Csn2_0_II-A_3,14
Csn2_0_II-A_4,621
Csn2_0_II-A_5,5
Csx10_0_III-D_12,1
Csx10_0_III-D_15,1
Csx10_0_III-D_2,10
Csx10_0_III-D_20,1
Csx10_0_III-D_3,75
Csx10_0_III-D_4,22
Csx10_0_III-D_5,18
Csx10_0_III-D_6,15
Csx10_0_III-D_7,14
Csx10_0_III-D_8,2
Csx10_1_III-D_3,1
Csx17_0_I-U_1,1
Csx17_0_I-U_2,30
Csx17_0_I-U_3,23
Csx17_0_I-U_4,2
Csx17_0_I-U_5,25
Csx17_0_I-U_6,2
Csx19_0_III-D_1,1
Csx19_0_III-D_2,14
Csx19_0_III-D_3,12
Csx19_0_III-D_4,2
Csx19_0_III-D_7,11
Csx19_0_III-D_8,4
Csx19_0_III-D_9,2
Csy1_0_I-F_1,83
Csy1_0_I-F_2,18
Csy1_0_I-F_3,499
Csy1_0_I-F_4,587
Csy1_0_I-F_5,6
Csy1_0_I-F_6,67
Csy2_0_I-F_1,34
Csy2_0_I-F_2,120
Csy2_0_I-F_3,636
Csy2_0_I-F_4,517
Csy2_0_I-F_5,81
Csy3_0_I-F_1,9
Csy3_0_I-F_2,652
Csy3_0_I-F_3,148
Csy3_0_I-F_4,104
